epoch,train_score,train_loss,best_epoch,best_value,early_stop_wait,learning_rate,epoch_time_sec,total_training_time_sec,avg_epoch_time_sec
1,19.623826981201173,-3.4689402742004396,1,19.623826981201173,0,0.0001,110.97662949562073,110.97676205635071,110.97676205635071
2,17.31203879333496,-1.9137255067443848,2,17.31203879333496,0,0.0001,110.07816195487976,221.05547308921814,110.52773654460907
3,16.978147252807616,-1.376921911048889,3,16.978147252807616,0,0.0001,109.96154260635376,331.5916438102722,110.5305479367574
4,16.804888578491212,-1.121746269569397,4,16.804888578491212,0,0.0001,110.06408190727234,441.78834867477417,110.44708716869354
5,16.67643590515137,-0.9733752465820312,5,16.67643590515137,0,0.0001,110.2799744606018,552.1953473091125,110.43906946182251
6,16.580675253295897,-0.875213978099823,6,16.580675253295897,0,0.0001,110.20736598968506,662.666980266571,110.44449671109517
7,16.50553900878906,-0.8066266946220398,7,16.50553900878906,0,0.0001,110.53966450691223,773.3344097137451,110.47634424482074
8,16.441798919067384,-0.7503739274787903,8,16.441798919067384,0,0.0001,110.30614471435547,883.7662937641144,110.4707867205143
9,16.393399916992188,-0.7088760711097717,9,16.393399916992188,0,0.0001,110.3482596874237,994.2450838088989,110.47167597876654
10,16.35654755981445,-0.6692666595649719,10,16.35654755981445,0,0.0001,110.16479444503784,1104.5553977489471,110.45553977489472
11,16.32104395629883,-0.6367141421127319,11,16.32104395629883,0,0.0001,110.43102169036865,1215.339383840561,110.48539853096008
12,16.293749782714844,-0.6104805617332458,12,16.293749782714844,0,0.0001,110.16438269615173,1325.7190701961517,110.47658918301265
13,16.263266991577147,-0.59259401845932,13,16.263266991577147,0,0.0001,110.37401843070984,1436.2176539897919,110.47828107613783
14,16.240188052978514,-0.5764412294006348,14,16.240188052978514,0,0.0001,110.58172369003296,1546.9264557361603,110.49474683829716
15,16.218530568237306,-0.5580160122299195,15,16.218530568237306,0,0.0001,110.42185688018799,1657.4770872592926,110.49847248395284
16,16.196612801513673,-0.5418178784179688,16,16.196612801513673,0,0.0001,110.37813591957092,1768.1106226444244,110.50691391527653
17,16.180321665649416,-0.5270886227798461,17,16.180321665649416,0,0.0001,109.97717308998108,1878.3193163871765,110.48937155218685
18,16.165163085327148,-0.5139256050872802,18,16.165163085327148,0,0.0001,110.14999198913574,1988.6031687259674,110.4779538181093
19,16.153157084350585,-0.5036265989208222,19,16.153157084350585,0,0.0001,110.38404965400696,2099.1286232471466,110.48045385511298
20,16.1391415435791,-0.49223520965576173,20,16.1391415435791,0,0.0001,110.072824716568,2209.3328075408936,110.46664037704468
21,16.12717168762207,-0.4855439513683319,21,16.12717168762207,0,0.0001,110.03387689590454,2319.7123057842255,110.46249075162979
22,16.108713889160157,-0.48743052166938783,22,16.108713889160157,0,0.0001,110.14261174201965,2429.9831149578094,110.4537779526277
23,16.09239415222168,-0.49615622360229494,23,16.09239415222168,0,0.0001,109.72712397575378,2539.8448915481567,110.42803876296334
24,16.077431259765625,-0.4907691616630554,24,16.077431259765625,0,0.0001,109.6352059841156,2649.6119151115417,110.40049646298091
25,16.06033443725586,-0.48631845220565795,25,16.06033443725586,0,0.0001,109.86769318580627,2759.595360994339,110.38381443977356
26,16.050961666870116,-0.4766171946048737,26,16.050961666870116,0,0.0001,110.02526926994324,2869.8514037132263,110.37890014281639
27,16.039423927612305,-0.4664649770927429,27,16.039423927612305,0,0.0001,110.18075060844421,2980.1513838768005,110.37597718062224
28,16.02780339477539,-0.45823341054916383,28,16.02780339477539,0,0.0001,110.34469985961914,3090.614995241165,110.37910697289875
29,16.017751737060546,-0.44868661624908446,29,16.017751737060546,0,0.0001,110.24170732498169,3200.975800037384,110.37847586335808
30,16.015949465026857,-0.44125875261306763,30,16.015949465026857,0,0.0001,110.32364344596863,3311.4188420772552,110.38062806924184
31,16.008326797180175,-0.43424537093162535,31,16.008326797180175,0,0.0001,110.19005274772644,3421.9362964630127,110.3850418213875
32,16.00081916534424,-0.4279189033222198,32,16.00081916534424,0,0.0001,110.05153393745422,3532.114298582077,110.3785718306899
33,15.994539695129394,-0.4226289069366455,33,15.994539695129394,0,0.0001,109.81657314300537,3642.061349630356,110.36549544334412
34,15.99054976928711,-0.41677794890403747,34,15.99054976928711,0,0.0001,109.99224424362183,3752.1772429943085,110.35815420571495
35,15.983133040161134,-0.41238352734565736,35,15.983133040161134,0,0.0001,109.91878461837769,3862.2177584171295,110.34907881191799
36,15.9777861227417,-0.40634592968940736,36,15.9777861227417,0,0.0001,109.98941040039062,3972.4621856212616,110.34617182281282
37,15.974843796386718,-0.4009231912231445,37,15.974843796386718,0,0.0001,110.60987210273743,4083.1998977661133,110.35675399367874
38,15.966981921691895,-0.3948432518577576,38,15.966981921691895,0,0.0001,110.13845133781433,4193.467768907547,110.35441497125123
39,15.96291360595703,-0.39087060425758363,39,15.96291360595703,0,0.0001,110.05673480033875,4303.652750253677,110.35007051932506
40,15.955909129333497,-0.3875976569271088,40,15.955909129333497,0,0.0001,110.17847037315369,4413.957446813583,110.34893617033958
41,15.953914135437012,-0.3845523575878143,41,15.953914135437012,0,0.0001,109.73512983322144,4524.040906906128,110.3424611440519
42,15.947996840820313,-0.37971911710739137,42,15.947996840820313,0,0.0001,110.04151773452759,4634.21443605423,110.33843895367214
43,15.944036254882812,-0.3764221360874176,43,15.944036254882812,0,0.0001,110.02068591117859,4744.36609172821,110.33409515647001
44,15.940145446777343,-0.37415581736564635,44,15.940145446777343,0,0.0001,110.07148289680481,4854.567921876907,110.33108913356608
45,15.94075285003662,-0.3691162160873413,44,15.940145446777343,1,0.0001,110.1178526878357,4964.819975852966,110.32933279673259
46,15.929080325317383,-0.36661295659065246,46,15.929080325317383,0,0.0001,110.87259006500244,5075.968822479248,110.34714831476626
47,15.925551986999512,-0.36261869621276854,47,15.925551986999512,0,0.0001,110.33066058158875,5186.435916423798,110.3497003494425
48,15.919357660827636,-0.36229151017189026,48,15.919357660827636,0,0.0001,110.21004605293274,5296.7645518779755,110.34926149745782
49,15.917064277038575,-0.3593826494884491,49,15.917064277038575,0,0.0001,110.20993399620056,5407.092863321304,110.34883394533274
50,15.913615602722167,-0.3572712512397766,50,15.913615602722167,0,0.0001,110.02429676055908,5517.232722759247,110.34465445518494
51,15.909084262695313,-0.3546877794551849,51,15.909084262695313,0,0.0001,110.09731864929199,5627.66219830513,110.34631761382607
52,15.905421750793456,-0.355291936378479,52,15.905421750793456,0,0.0001,110.3015341758728,5738.087039709091,110.34782768671329
53,15.8994382131958,-0.3519657341957092,53,15.8994382131958,0,0.0001,110.23733258247375,5848.458303451538,110.34826987644412
54,15.89131692199707,-0.35215955397605897,54,15.89131692199707,0,0.0001,110.17802858352661,5958.756913900375,110.34735025741436
55,15.88431586517334,-0.349874010181427,55,15.88431586517334,0,0.0001,110.209477186203,6069.0877776145935,110.34705050208352
56,15.879870447082519,-0.35104568473815917,56,15.879870447082519,0,0.0001,109.7611129283905,6179.087463617325,110.34084756459508
57,15.875449434204102,-0.350928676815033,57,15.875449434204102,0,0.0001,110.04150795936584,6289.2505033016205,110.3377281280986
58,15.871465749816895,-0.35077907457351687,58,15.871465749816895,0,0.0001,109.90252590179443,6399.274983167648,110.33232729599393
59,15.86423069152832,-0.34823790874481203,59,15.86423069152832,0,0.0001,111.45215725898743,6510.852069139481,110.35342490066917
60,15.859920046691894,-0.3485565326595306,60,15.859920046691894,0,0.0001,110.20103693008423,6621.1744911670685,110.3529081861178
61,15.854062781066894,-0.3481455592918396,61,15.854062781066894,0,0.0001,109.99100017547607,6731.490792751312,110.35230807789037
